lsp_name,disclosure_url,is_active,fetch_hint,parse_hint,rules_json
MyShubhLife,https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ₹ Cr)"", ""as_on"": {""constant"": ""2024-03-31""}}}"
Navi Finserv,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/DLG%20Disclosure%20May%2025_20250609155543.pdf,TRUE,auto,pdf_table,"{""field_map"": {""portfolio"": {""keys"": [""Sr.\nN0.""], ""regex"": ""([a-z])\\)""}, ""amount"": ""Outstanding portfolio amount on which DLG\nhas been offered as on 31 May 2025"", ""as_on"": {""constant"": ""2025-05-31""}}}"
Ninjacart Services Private Limited,https://www.ninjacartservices.com/disclosures/,TRUE,auto,html_table,"{""field_map"": {""lender"": ""RE No."", ""portfolio"": ""Name of Portfolio serviced by the LSP with RE"", ""amount"": ""Total amount approved for the above Portfolio (INR)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
OkCredit,https://okbz.in/okcredit-public/oktermloan/DLG%20Portfolio%20Disclosure.pdf,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in ₹ Cr)"", ""as_on"": {""constant"": ""2025-01-01""}}}"
OnEMI Technlology Solutions Limited,https://www.kissht.com/dlg-disclosure,TRUE,auto,auto,"{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
OnionLife Private Limited,https://karmalife.ai/dlg-disclosure/,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""AUM Details (INR in Cr) - Dec 2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Paisabazaar.com,https://www.paisabazaar.com/disclosures,TRUE,playwright,plain_text,"{""field_map"": {""lender"": {""regex"": ""(Lender [A-Z])""}, ""portfolio"": {""regex"": ""(Portfolio [A-Z0-9]+):""}, ""amount"": {""regex"": ""INR ([0-9.]+) crore""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
PayMe,https://www.paymeindia.in/policy-disclosure,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (in Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
PhonePe Lending Services Private Limited,https://www.phonepe.com/lending/other-disclosures/,TRUE,playwright,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (INR in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Resilient Digi Services Pvt. Ltd.,https://bharatpemoney.com/documents/DLG-Disclosure_Dec25.pdf,TRUE,auto,pdf_table,"{""field_map"": {""portfolio"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""(Portfolio [0-9]+\\.[0-9]+)""}, ""amount"": {""keys"": [""Portfolio AUM (in INR Cr) as on 31st\nDecember 2025"", ""col_0""], ""regex"": ""\\.[0-9]+[\\s\\n]+([0-9]+(?:\\.[0-9]+)?)""}, ""as_on"": {""constant"": ""2025-12-31""}}}"
Revfin Services Private Limited,https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,TRUE,auto,ocr_simple,"{""field_map"": {""as_on"": {""constant"": ""2025-12-31""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 320, ""min_conf"": 20, ""slice_count"": 23, ""crop_top_pct"": 6, ""crop_bottom_pct"": 95, ""amount_unit"": ""rupees""}}"
Shuhari Tech Ventures Private Limited,https://www.nirafinance.com/dlg-disclosure,TRUE,auto,ocr_simple,"{""field_map"": {""as_on"": {""constant"": ""2025-12-31""}}, ""ocr"": {""method"": ""simple"", ""resolution"": 420, ""min_conf"": 30, ""slice_count"": 4, ""crop_top_pct"": 15, ""crop_bottom_pct"": 85, ""amount_unit"": ""crore"", ""render_pdf"": true, ""render_timeout_ms"": 45000, ""render_wait_ms"": 2000, ""render_wait_until"": ""load""}}"
SaveIN Fintech Pvt Ltd,https://savein.money/terms-of-use/idfc-terms-and-conditions,TRUE,playwright,auto,"{""pre_click_js"": ""const buttons = Array.from(document.querySelectorAll('button')); const lastMonthButton = buttons.filter(b => b.textContent.trim().match(/^(January|February|March|April|May|June|July|August|September|October|November|December) \\d{4}$/)).pop(); if (lastMonthButton) lastMonthButton.click();"", ""field_map"": {""portfolio"": ""DLG Set"", ""amount"": ""Cohort values under each DLG set (₹ Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Si Creva Capital Services Private Limited,https://sicrevacapital.com/dlg-disclosure/,TRUE,auto,auto,"{""field_map"": {""lender"": ""Lender"", ""portfolio"": ""Portfolio"", ""amount"": ""Outstanding portfolio amount on which DLG has been offered (Rs Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Smartcoin Financials Private Limited,https://docs.google.com/document/d/e/2PACX-1vQCgML6wUKU_MhuMvAERzMd7T6qtdB1M0tCcQoQqYOz3_zJNeqD6N0HfBnzvEqPmGvK1yIxXUbveeeM/pub,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ₹ Cr)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Spice Money Ltd,https://spicemoney.com/corporate/services,TRUE,playwright,html_table,"{""pre_click_js"": ""const clickMatch = (selectors, predicate) => { for (const sel of selectors) { const el = Array.from(document.querySelectorAll(sel)).find(predicate); if (el) { el.click(); return true; } } return false; }; clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase() === 'credit'); setTimeout(() => { clickMatch(['button','a','div'], el => el.textContent && el.textContent.trim().toLowerCase().includes('dlg disclosure')); }, 500);"", ""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount (In ₹ Cr)*"", ""as_on"": {""constant"": ""2025-12-31""}}}"
True Credits,https://www.truecredits.in/dlg-disclosure,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Portfolio"", ""amount"": ""Amount(In Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Uniorbit Payment Solutions Pvt Ltd,https://www.uni.cards/dlg-portfolio,TRUE,playwright,html_table,"{""field_map"": {""lender"": ""Total No of Lenders"", ""portfolio"": ""Total No of DLG Portfolios"", ""amount"": ""Amount (₹ in Crores)"", ""as_on"": {""constant"": ""2025-12-31""}}}"
Vaibhav Vyapaar Private Limited (VVPL),https://www.vaibhav-vyapaar.com/assets/PDF/dlg_certificate_october.pdf,TRUE,auto,pdf_table,"{""field_map"": {""portfolio"": ""Nos. of Portfolio"", ""amount"": ""Amount (in Crores)"", ""as_on"": {""constant"": ""2025-10-31""}}}"
Bajaj Finserv Direct Limited,https://www.bajajfinservmarkets.in/disclosures,TRUE,auto,auto,"{""field_map"": {""lender"": ""Regulated Entity"", ""portfolio"": ""Business Segment"", ""amount"": ""Portfolio Value (₹)*"", ""as_on"": {""constant"": ""2025-12-31""}}}"
FinAGG Services Private Limited,https://portal.finagg.in/banner/finagg/DLG.pdf,TRUE,auto,auto,"{""field_map"": {""portfolio"": ""Regulated Entity (Lender)"", ""amount"": ""Portfolio OS as on 31-12-2025"", ""as_on"": {""constant"": ""2025-12-31""}}}"
